매입임대고유번호,자치구,법정동,지번,대지면적_m2,건폐율_pct,용적률_pct,주택형태,노후년수,임대세대수,지형높이,지형형상,도로접면,OSC공법유형
1847,서초구,서초동,1628-4,231.70,49.94,99.88,단독주택,30.5,10,평지,정방형,소로각지,중형
1848,서초구,서초동,1643-49,378.00,49.12,92.76,단독주택,21.3,7,평지,정방형,세로한면(가),소형
1849,서초구,염곡동,100-34,238.80,59.75,173.90,단독주택,23.5,12,평지,사다리형,세로각지(가),소형
1850,강남구,역삼동,672-22,244.70,59.93,162.62,단독주택,28.0,9,평지,가로장방,세로한면(가),소형
1851,강남구,역삼동,743-8,391.50,55.95,126.91,단독주택,28.2,16,평지,가로장방,세로한면(가),소형
1852,강남구,역삼동,747-8,334.10,41.31,144.33,,27.0,10,평지,세로장방,세로한면(가),소형
1858,강남구,역삼동,794-13,186.80,59.43,150.48,단독주택,27.9,9,평지,자루형,세로한면(가),소형
1859,강남구,역삼동,797-9,,,,,,,평지,정방형,세로한면(가),소형
1860,강남구,역삼동,834-70,0.00,0.00,0.00,공동주택,37.8,3,평지,자루형,세로한면(가),
1861,강남구,역삼동,834-71,222.79,49.34,96.74,공동주택,37.8,6,평지,자루형,세로한면(가),소형
1862,강남구,개포동,1173-4,117.00,68.20,102.72,공동주택,29.3,6,평지,세로장방,세로한면(가),소형
1864,강남구,개포동,1206-7,258.80,58.55,155.59,단독주택,31.6,15,평지,정방형,세로한면(가),소형
1865,강남구,개포동,1235-1,173.90,59.68,179.03,단독주택,30.2,12,평지,가로장방,세로한면(가),소형
1866,강남구,개포동,1237-14,279.50,59.55,170.65,단독주택,28.9,17,평지,세로장방,소로한면,중형
1870,강남구,청담동,11-6,200.40,59.95,174.57,단독주택,28.8,9,평지,정방형,세로한면(가),소형
1871,강남구,청담동,11-7,422.90,56.93,154.69,단독주택,28.0,13,평지,정방형,세로각지(가),소형
1872,강남구,청담동,20-6,272.10,53.62,138.24,단독주택,22.2,6,평지,자루형,세로한면(가),중형
1873,강남구,청담동,26-27,221.60,56.56,159.62,단독주택,28.2,7,평지,세로장방,세로한면(가),소형
1874,강남구,청담동,55-11,300.60,55.54,151.10,단독주택,27.1,10,평지,사다리형,세로한면(가),소형
1875,강남구,청담동,123-32,213.60,59.33,148.77,단독주택,29.0,9,평지,가로장방,세로한면(가),소형
1876,강남구,삼성동,9-13,232.40,59.92,173.44,단독주택,29.3,9,평지,세로장방,세로한면(가),소형
1877,강남구,삼성동,25-15,244.30,59.94,187.88,공동주택,22.6,9,평지,세로장방,세로각지(가),소형
1878,강남구,삼성동,26-12,343.00,58.19,160.34,단독주택,22.8,9,평지,정방형,세로한면(가),소형
1879,강남구,삼성동,29-8,253.60,59.97,168.96,,23.7,12,평지,자루형,세로한면(가),소형
1880,강남구,삼성동,34-5,268.60,59.90,202.32,공동주택,22.8,12,평지,세로장방,세로한면(가),소형
1881,강남구,삼성동,36-2,199.90,59.70,200.16,공동주택,24.0,6,평지,정방형,세로한면(가),소형
1882,강남구,삼성동,39-3,190.00,58.31,152.95,단독주택,29.6,9,평지,정방형,세로한면(가),소형
1883,강남구,삼성동,44-6,226.00,59.79,174.30,단독주택,28.8,9,평지,자루형,소로한면,소형
1884,강남구,삼성동,46-24,192.40,59.82,174.73,단독주택,31.1,9,평지,가로장방,세로한면(가),소형
1885,강남구,삼성동,47-15,411.80,39.96,79.91,단독주택,32.5,9,평지,정방형,세로한면(가),소형
1886,강남구,삼성동,61-6,254.20,59.98,197.45,공동주택,22.6,9,평지,세로장방,세로한면(가),중형
1888,강남구,삼성동,120-11,265.90,57.07,151.05,단독주택,27.8,12,평지,자루형,세로한면(가),소형
1889,강남구,대치동,915-8,345.40,59.73,145.40,단독주택,28.3,14,평지,사다리형,세로한면(가),소형
1890,강남구,대치동,916-55,233.60,58.15,152.75,,29.4,15,평지,세로장방,세로각지(가),소형
1891,강남구,대치동,916-64,243.70,58.74,188.67,공동주택,21.1,7,평지,정방형,세로한면(가),소형
1892,강남구,대치동,1015-2,355.20,59.81,137.79,단독주택,26.6,11,평지,자루형,세로한면(가),소형
1893,강남구,신사동,522-15,242.53,56.91,149.99,단독주택,31.5,16,평지,가로장방,세로한면(가),소형
1894,강남구,신사동,555-33,201.40,57.42,158.00,단독주택,29.1,9,평지,가로장방,세로각지(가),소형
1895,강남구,논현동,16-19,238.30,38.89,77.78,단독주택,32.2,5,평지,정방형,세로한면(가),소형
1896,강남구,논현동,72-5,199.90,49.86,131.67,단독주택,34.1,7,평지,세로장방,세로한면(가),소형
1897,강남구,논현동,73-10,229.70,46.99,128.69,,30.2,9,평지,정방형,세로한면(가),소형
1898,강남구,논현동,95-3,,,,,,,평지,자루형,세로한면(가),소형
1899,강남구,논현동,99-17,177.80,53.86,125.28,단독주택,27.4,3,평지,자루형,세로한면(가),소형
1900,강남구,논현동,100-17,,,,,,,평지,자루형,세로한면(가),소형
1901,강남구,논현동,100-25,257.00,59.72,165.87,단독주택,26.6,9,평지,정방형,세로한면(가),소형
1902,강남구,논현동,100-29,,,,,,,평지,자루형,세로한면(가),소형
1903,강남구,논현동,103-13,170.70,54.26,142.58,단독주택,28.3,5,평지,세로장방,세로한면(가),소형
1904,강남구,논현동,103-14,,,,,,,평지,가로장방,세로각지(가),소형
1905,강남구,논현동,107-15,199.70,56.37,153.49,단독주택,29.1,5,평지,사다리형,세로각지(가),소형
1906,강남구,논현동,131-2,,,,,,,평지,가로장방,세로한면(가),소형
1907,강남구,논현동,134-12,300.10,51.82,83.12,단독주택,31.3,15,평지,자루형,세로한면(가),소형
1908,강남구,논현동,148-4,,,,,,,평지,자루형,세로한면(가),소형
1909,강남구,논현동,151-5,265.70,58.42,158.64,단독주택,23.3,10,평지,정방형,세로한면(가),소형
1910,강남구,논현동,174-12,,,,,,,평지,가로장방,세로한면(가),소형
1912,강남구,논현동,180-3,222.25,59.98,170.94,단독주택,31.4,8,평지,세로장방,세로한면(가),소형
1913,강남구,논현동,189-18,,,,,,,평지,자루형,세로한면(가),소형
1914,강남구,논현동,231-3,215.20,49.81,110.90,단독주택,30.1,13,평지,세로장방,세로한면(가),중형
1915,강남구,논현동,262-10,,,,,,,평지,세로장방,세로각지(가),소형
1916,강남구,논현동,263-2,275.90,59.01,157.78,단독주택,30.6,8,평지,사다리형,세로각지(가),소형
1917,강남구,논현동,263-3,,,,,,,평지,세로장방,세로각지(가),소형
1918,강남구,논현동,272-4,216.30,52.63,157.89,단독주택,29.7,6,평지,세로장방,세로한면(가),소형
1919,강남구,도곡동,193-77,,,,,,,평지,사다리형,세로각지(가),
1373,구로구,고천동,52-122,199.95,59.27,190.71,공동주택,20.4,7,완경사,사다리형,세로한면(가),소형
1376,구로구,고천동,241-69,,,,,,,완경사,가로장방,세로한면(가),소형
1382,구로구,고천동,250-94,,,,,,,평지,가로장방,세로각지(가),소형
1386,구로구,고천동,263-7,,,,,,,평지,부정형,세로한면(불),소형
1396,구로구,개봉동,44-3,,,,,,,완경사,부정형,세로한면(가),소형
1418,구로구,개봉동,270-75,247.35,54.87,149.20,단독주택,22.2,8,완경사,부정형,세로한면(가),소형
1419,구로구,개봉동,278-16,,,,,,,평지,자루형,소로한면,
1422,구로구,개봉동,305-31,,,,,,,평지,가로장방,세로한면(가),소형
1429,구로구,개봉동,313-7,,,,,,,평지,사다리형,세로각지(가),소형
1432,구로구,개봉동,319-27,193.00,0.00,185.49,단독주택,32.4,5,완경사,자루형,세로한면(가),소형
1433,구로구,개봉동,323-30,,,,,,,평지,자루형,소로한면,소형
1437,구로구,개봉동,337-18,168.30,54.27,0.00,단독주택,27.9,5,완경사,세로장방,세로각지(가),소형
1439,구로구,개봉동,342-3,,,,,,,평지,세로장방,세로한면(가),소형
1442,구로구,개봉동,365-6,0.00,58.48,0.00,공동주택,22.9,5,평지,자루형,소로한면,소형
1443,구로구,개봉동,417-25,,,,,,,평지,사다리형,세로한면(가),
1444,구로구,개봉동,459-1,169.00,59.78,0.00,단독주택,30.5,6,완경사,가로장방,세로각지(가),소형
1447,구로구,오류동,27-39,,,,,,,완경사,사다리형,세로한면(가),소형
1448,구로구,오류동,31-259,0.00,57.64,179.36,단독주택,25.6,5,완경사,부정형,세로한면(가),소형
1451,구로구,오류동,313-35,,,,,,,평지,사다리형,세로한면(가),소형
1370,구로구,구로동,743-43,129.10,59.81,102.28,단독주택,31.2,5,평지,세로장방,세로한면(가),소형
1463,금천구,독산동,165-29,132.20,59.18,108.56,단독주택,31.6,4,완경사,세로장방,세로한면(가),소형
1467,금천구,독산동,181-97,130.60,56.35,155.86,단독주택,28.3,6,완경사,사다리형,세로각지(가),소형
1468,금천구,독산동,181-98,116.70,59.97,102.16,단독주택,32.0,5,완경사,정방형,세로한면(가),소형
1469,금천구,독산동,181-108,175.00,59.32,232.82,단독주택,21.2,5,완경사,사다리형,세로한면(가),소형
1470,금천구,독산동,186-6,113.70,57.04,114.08,단독주택,33.6,5,완경사,사다리형,세로한면(가),소형
1471,금천구,독산동,188-23,126.20,49.63,99.27,단독주택,36.5,5,완경사,가로장방,세로한면(가),소형
1472,금천구,독산동,199-27,145.80,59.36,113.17,단독주택,31.1,5,평지,정방형,세로한면(가),소형
1473,금천구,독산동,378-48,141.50,46.83,93.67,단독주택,30.7,3,완경사,가로장방,세로각지(가),
1479,금천구,독산동,378-433,92.30,59.91,106.51,단독주택,32.2,4,완경사,사다리형,세로각지(가),소형
1481,금천구,독산동,893-18,201.30,59.53,113.94,단독주택,31.2,7,평지,세로장방,세로한면(가),소형
1482,금천구,독산동,896-5,208.30,59.94,102.22,단독주택,31.4,8,평지,정방형,세로한면(가),소형
1495,금천구,독산동,1021-21,281.00,56.76,140.96,단독주택,27.3,8,평지,사다리형,세로한면(가),소형
1496,금천구,독산동,1022-59,0.00,57.71,0.00,공동주택,22.6,12,완경사,세로장방,세로한면(가),소형
1506,금천구,독산동,1102-4,525.00,59.97,2701.00,단독주택,31.2,8,평지,정방형,소로한면,중형
1514,금천구,시흥동,793-15,,,,,,,평지,자루형,세로한면(가),소형
1515,금천구,시흥동,807-15,278.00,47.10,177.78,공동주택,31.3,4,평지,부정형,세로각지(가),소형
1516,금천구,시흥동,808-23,,,,,,,평지,자루형,세로각지(가),소형
1520,금천구,시흥동,835-26,,,,,,,평지,세로장방,세로한면(가),소형
1522,금천구,시흥동,853-36,,,,,,,평지,자루형,세로한면(가),소형
1523,금천구,시흥동,856-6,,,,,,,평지,세로장방,세로한면(가),소형
1524,금천구,시흥동,891-17,,,,,,,평지,세로장방,세로한면(가),소형
1529,금천구,시흥동,917-33,,,,,,,평지,자루형,소로한면,소형
1532,금천구,시흥동,930-1,,,,,,,평지,세로장방,세로한면(가),소형
1534,금천구,시흥동,945-43,,,,,,,완경사,사다리형,세로한면(가),소형
1535,금천구,시흥동,985-19,,,,,,,평지,사다리형,세로한면(가),소형
1536,영등포구,영등포동,602-22,,,,,,,평지,자루형,중로한면,소형
1537,영등포구,영등포동,618-75,,,,,,,평지,사다리형,세로한면(가),소형
1544,영등포구,도림동,186-7,,,,,,,평지,사다리형,세로한면(가),소형
1553,영등포구,신길동,158-40,,,,,,,평지,세로장방,세로각지(가),소형
1554,영등포구,신길동,287-16,,,,,,,평지,사다리형,세로한면(가),소형
1559,영등포구,대림동,730-4,,,,,,,평지,사다리형,소로각지,
1564,영등포구,대림동,882-23,,,,,,,완경사,사다리형,세로한면(불),소형
1565,영등포구,대림동,934-52,210.43,54.02,145.24,단독주택,27.7,7,평지,사다리형,세로각지(가),소형
1566,동작구,노량진동,215-1,278.00,58.03,210.40,단독주택,26.9,13,완경사,사다리형,세로한면(가),소형
1567,동작구,노량진동,221-23,,,,,,,급경사,사다리형,세로한면(가),
1568,동작구,상도동,134-252,0.00,57.78,0.00,단독주택,26.7,6,급경사,세로장방,세로한면(불),소형
1570,동작구,상도동,244-226,210.16,59.33,155.00,단독주택,32.3,5,급경사,사다리형,세로한면(가),소형
1571,동작구,상도동,244-235,193.29,0.00,105.42,단독주택,33.5,5,급경사,정방형,세로한면(가),소형
1572,동작구,상도동,244-236,,,,,,,급경사,정방형,세로한면(가),소형
1573,동작구,상도동,244-258,0.00,59.74,0.00,단독주택,32.4,5,급경사,사다리형,소로각지,소형
1585,동작구,상도동,299-191,0.00,40.76,0.00,공동주택,32.5,10,완경사,사다리형,세로각지(가),
1592,동작구,사당동,183-34,115.00,59.89,114.89,공동주택,22.0,8,완경사,사다리형,중로한면,중형
1593,동작구,사당동,202-21,415.01,59.92,117.79,단독주택,29.3,7,평지,사다리형,세로각지(가),소형
1594,동작구,사당동,206-104,228.00,59.85,210.02,단독주택,22.7,11,평지,가로장방,세로한면(가),소형
1595,동작구,사당동,235-13,147.10,49.55,169.43,단독주택,28.0,11,완경사,사다리형,세로한면(가),소형
1600,동작구,대방동,391-21,171.00,59.48,163.51,단독주택,32.4,10,완경사,세로장방,소로한면,중형
1601,동작구,대방동,391-34,344.00,59.28,138.45,단독주택,21.6,6,평지,부정형,세로한면(가),소형
1604,동작구,신대방동,344-73,226.00,58.89,163.05,단독주택,27.5,7,완경사,사다리형,세로한면(불),소형
1607,동작구,신대방동,692-43,142.25,0.00,175.68,단독주택,33.2,5,평지,자루형,중로한면,소형
1611,관악구,봉천동,66-18,150.80,58.04,168.16,단독주택,30.0,5,완경사,세로장방,세로한면(가),소형
1612,관악구,봉천동,66-102,0.00,59.03,0.00,단독주택,31.1,5,완경사,세로장방,세로한면(가),소형
1613,관악구,봉천동,98-4,122.00,54.23,108.39,단독주택,20.8,16,완경사,사다리형,세로한면(불),소형
1614,관악구,봉천동,100-208,76.01,0.00,119.30,단독주택,34.9,6,완경사,가로장방,세로각지(가),소형
1615,관악구,봉천동,180-582,159.00,59.11,154.19,단독주택,27.3,7,완경사,세로장방,중로한면,중형
1616,관악구,봉천동,480-110,0.00,59.88,0.00,단독주택,31.1,7,완경사,세로장방,세로한면(가),소형
1618,관악구,봉천동,635-98,205.00,54.45,158.37,단독주택,28.0,6,완경사,세로장방,세로한면(가),소형
1624,관악구,봉천동,635-407,145.00,59.93,168.24,단독주택,29.3,6,완경사,정방형,세로한면(불),소형
1626,관악구,봉천동,649-146,145.00,59.70,132.53,단독주택,22.2,6,완경사,사다리형,세로한면(불),소형
1627,관악구,봉천동,661-51,142.46,59.43,151.89,공동주택,22.0,7,완경사,가로장방,세로한면(가),
1628,관악구,봉천동,662-95,179.64,0.00,157.31,단독주택,34.1,7,완경사,사다리형,세로한면(가),소형
1630,관악구,봉천동,693-1,0.00,59.55,0.00,단독주택,27.5,6,평지,부정형,세로한면(가),소형
1631,관악구,봉천동,715-40,0.00,59.89,0.00,단독주택,32.4,7,완경사,세로장방,세로한면(가),소형
1632,관악구,봉천동,715-132,212.00,59.81,158.39,단독주택,24.1,4,완경사,사다리형,세로한면(가),소형
1634,관악구,봉천동,900-46,157.70,59.42,124.80,단독주택,20.2,3,완경사,세로장방,세로한면(가),소형
1635,관악구,봉천동,900-78,135.50,59.87,169.17,단독주택,28.1,18,완경사,정방형,세로한면(가),소형
1636,관악구,봉천동,902-42,112.10,57.58,158.22,단독주택,23.0,6,평지,사다리형,세로한면(가),소형
1637,관악구,봉천동,921-5,254.20,47.81,179.10,공동주택,31.3,12,평지,세로장방,세로한면(가),소형
1638,관악구,봉천동,934-10,,,,,,,평지,정방형,세로한면(가),소형
1639,관악구,봉천동,1598-36,,,,,,,평지,정방형,세로한면(가),소형
