자치구,법정동,지번,경도,위도,PNU,대지면적_m2,건폐율_pct,용적률_pct,주택형태,노후년수,임대세대수,공시지가_2026_원per_m2,지형높이,지형형상,도로접면,OSC공법,신규임대유형,지하철역_800m,버스정류장_800m,초등학교_800m,중고등학교_800m
송파구,삼전동,168-6,127.0944435,37.4995576,1171010600101680006,,,,,,,6711000,평지,자루형,소로한면,소형,신혼부부,3,26,3,2
송파구,가락동,4-2,127.1247077,37.5031209,1171010700100040002,210.00,71.09,225.73,공동주택,21.0,5,5962000,평지,세로장방,세로한면(가),소형,신혼부부,1,20,2,1
송파구,가락동,129-4,127.1249588,37.4947828,1171010700101290004,,,,,,,5986000,평지,세로장방,세로한면(가),소형,청년,1,19,2,1
송파구,가락동,194-9,127.1322301,37.4942596,1171010700101940009,199.30,59.76,223.99,공동주택,21.3,9,5946000,평지,가로장방,세로한면(가),소형,청년,3,41,3,6
송파구,문정동,48-11,127.1236993,37.4873885,1171010800100480011,,,,,,,6137000,평지,정방형,세로한면(가),소형,신혼부부,3,38,4,3
송파구,문정동,100-2,127.129901,37.4844904,1171010800101000002,,,,,,,5774000,평지,가로장방,세로한면(가),,청년,3,30,4,3
송파구,문정동,110-16,127.1314799,37.4861199,1171010800101100016,,,,,,,5728000,평지,세로장방,세로한면(가),,청년,3,39,3,0
송파구,방이동,138-9,127.1181542,37.5115478,1171011100101380009,213.00,59.73,210.14,단독주택,24.2,10,6506000,평지,세로장방,세로한면(가),소형,청년,3,35,4,1
송파구,방이동,140-16,127.1174737,37.51109,1171011100101400016,,,,,,,6418000,평지,세로장방,세로한면(가),소형,청년,3,38,4,1
송파구,방이동,145-37,127.1150296,37.5122068,1171011100101450037,261.40,59.89,201.77,공동주택,22.2,10,6522000,평지,세로장방,세로한면(가),소형,청년,3,38,4,1
송파구,방이동,162-17,127.1207279,37.5112075,1171011100101620017,,,,,,,6407000,평지,세로장방,세로한면(가),소형,신혼부부,1,22,4,3
송파구,방이동,185-15,127.1265612,37.5110506,1171011100101850015,172.00,0.00,155.50,단독주택,34.6,10,8710000,평지,세로장방,세로한면(가),소형,청년,3,26,4,3
송파구,방이동,223-4,127.1212479,37.506874,1171011100102230004,,,,,,,4731000,평지,자루형,소로한면,소형,청년,3,25,4,3
송파구,오금동,65-8,127.135551,37.5025761,1171011200100650008,,,,,,,5501000,평지,사다리형,소로각지,중형,청년,1,21,2,0
송파구,오금동,119-3,127.1400658,37.5042561,1171011200101190003,247.00,59.92,164.87,단독주택,27.1,9,5612000,평지,사다리형,소로각지,중형,청년,2,22,1,2
송파구,오금동,120-22,127.1394008,37.5042283,1171011200101200022,,,,,,,5403000,평지,사다리형,세로한면(가),소형,청년,2,28,3,2
송파구,거여동,30-6,127.1470192,37.4921954,1171011300100300006,,,,,,,5030000,평지,정방형,세로한면(가),소형,청년,2,24,1,2
송파구,거여동,132-26,127.1454146,37.4975674,1171011300101320026,,,,,,,3808000,평지,정방형,세로한면(불),소형,청년,2,25,1,2
송파구,거여동,132-36,127.1454927,37.4975903,1171011300101320036,,,,,,,4098000,평지,사다리형,세로한면(가),소형,청년,1,19,2,3
송파구,거여동,133-1,127.1457244,37.497907,1171011300101330001,89.60,50.99,104.11,단독주택,32.9,3,4218000,평지,사다리형,세로한면(가),소형,청년,3,46,3,7
송파구,거여동,133-58,127.1457459,37.4977582,1171011300101330058,,,,,,,3585000,평지,자루형,세로한면(가),소형,청년,3,47,5,2
송파구,거여동,136-99,127.1429689,37.4970518,1171011300101360099,0.00,59.60,96.87,단독주택,25.3,4,4662000,평지,세로장방,소로한면,중형,신혼부부,2,38,4,4
송파구,거여동,225-81,127.150277,37.4911399,1171011300102250081,,,,,,,4657000,평지,세로장방,세로한면(가),소형,신혼부부,3,50,4,3
송파구,마천동,84-13,127.1501792,37.4991324,1171011400100840013,118.00,0.00,173.52,공동주택,38.6,4,4714000,평지,사다리형,세로한면(가),소형,신혼부부,2,60,3,4
송파구,마천동,87-28,127.1493779,37.4997042,1171011400100870028,,,,,,,4684000,평지,사다리형,세로한면(가),,청년,0,58,3,4
송파구,마천동,88-2,127.1492768,37.500453,1171011400100880002,,,,,,,4874000,평지,사다리형,소로한면,중형,신혼부부,3,39,3,3
송파구,마천동,95-20,127.1484942,37.4990246,1171011400100950020,156.00,57.47,110.36,공동주택,21.9,7,3925000,평지,사다리형,세로한면(불),소형,신혼부부,3,37,3,3
송파구,마천동,184-38,127.1530911,37.4960113,1171011400101840038,,,,,,,5237000,평지,사다리형,세로한면(가),소형,신혼부부,3,37,3,3
송파구,마천동,190-38,127.1534343,37.4969296,1171011400101900038,152.00,0.00,231.56,단독주택,34.5,5,7038000,평지,세로장방,소로한면,,청년,3,38,2,3
송파구,마천동,193-6,127.1530673,37.4980453,1171011400101930006,,,,,,,3779000,평지,사다리형,세로한면(불),소형,청년,3,37,4,5
송파구,마천동,197-7,127.1539317,37.4987419,1171011400101970007,,,,,,,4588000,평지,가로장방,세로한면(가),소형,신혼부부,3,39,3,7
송파구,마천동,207-12,127.1546944,37.4967443,1171011400102070012,,,,,,,4283000,평지,세로장방,세로한면(가),소형,청년,3,46,4,5
송파구,마천동,207-13,127.1547292,37.4966452,1171011400102070013,0.00,0.00,166.00,공동주택,37.6,1,4283000,평지,세로장방,세로한면(가),소형,청년,0,33,2,3
송파구,마천동,207-18,127.1548097,37.4963995,1171011400102070018,,,,,,,4462000,평지,가로장방,세로각지(가),소형,청년,0,36,2,3
송파구,마천동,277-21,127.1579742,37.4905212,1171011400102770021,,,,,,,4071000,평지,사다리형,세로각지(가),,신혼부부,2,39,4,3
송파구,마천동,279-3,127.1563369,37.4930971,1171011400102790003,119.00,54.97,0.00,단독주택,27.4,5,7224000,평지,사다리형,광대세각,,청년,2,39,4,3
송파구,마천동,283-84,127.1561335,37.493691,1171011400102830084,,,,,,,3850000,평지,사다리형,세로한면(가),소형,신혼부부,2,39,4,3
송파구,마천동,308-20,127.1539058,37.4929313,1171011400103080020,155.00,55.43,202.84,단독주택,31.1,6,4358000,평지,사다리형,세로한면(가),소형,청년,2,39,4,3
송파구,마천동,309-20,127.1530836,37.4939644,1171011400103090020,,,,,,,4653000,평지,가로장방,세로한면(불),소형,청년,2,40,2,4
송파구,마천동,309-37,127.1532696,37.4937611,1171011400103090037,285.00,59.74,147.38,단독주택,31.0,1,4446000,평지,자루형,소로한면,소형,청년,2,42,3,3
송파구,마천동,312-10,127.1538031,37.494121,1171011400103120010,,,,,,,4653000,평지,세로장방,세로한면(불),소형,유지,1,34,3,0
송파구,마천동,322-15,127.1540244,37.4929751,1171011400103220015,114.80,0.00,91.10,공동주택,38.2,5,4445000,평지,정방형,세로한면(가),소형,신혼부부,1,30,3,0
송파구,마천동,323-182,127.1538163,37.4927654,1171011400103230182,,,,,,,4044000,평지,가로장방,세로한면(불),소형,청년,1,25,3,0
송파구,마천동,336-2,127.1537342,37.5018126,1171011400103360002,0.00,59.35,149.84,단독주택,31.4,5,3344000,완경사,세로장방,세로한면(불),,청년,2,34,4,0
송파구,마천동,347-1,127.1540689,37.5004097,1171011400103470001,,,,,,,3770000,완경사,정방형,세로각지(가),소형,청년,1,37,2,0
송파구,마천동,571-5,127.1580903,37.4911136,1171011400105710005,,,,,,,4071000,평지,사다리형,세로각지(가),소형,청년,1,32,2,0
서초구,방배동,527-8,126.9878735,37.4783525,1165010100105270008,169.00,54.43,138.87,단독주택,31.0,7,7889000,평지,사다리형,세로한면(가),소형,유지,2,58,2,3
서초구,방배동,593-56,126.994819,37.4754529,1165010100105930056,278.00,40.92,122.75,단독주택,27.5,11,6517000,완경사,세로장방,세로한면(가),소형,청년,1,57,1,3
서초구,방배동,793-14,126.9889846,37.4926114,1165010100107930014,290.86,59.09,170.77,단독주택,29.5,13,7424000,평지,자루형,세로한면(가),소형,청년,1,69,2,3
서초구,방배동,829-7,126.9867977,37.4887778,1165010100108290007,170.90,58.98,158.15,단독주택,22.1,9,8608000,평지,정방형,세로한면(가),소형,청년,3,72,1,3
서초구,방배동,918-2,126.9930229,37.4817427,1165010100109180002,218.60,56.91,142.72,단독주택,29.0,16,10220000,평지,세로장방,소로한면,중형,청년,2,65,3,3
서초구,방배동,919-19,126.9925507,37.4829939,1165010100109190019,247.90,59.98,226.66,공동주택,21.7,16,10440000,평지,가로장방,세로각지(가),소형,청년,2,65,3,3
서초구,방배동,987-12,127.0001786,37.4802297,1165010100109870012,438.10,57.27,197.11,공동주택,20.5,7,9529000,평지,세로장방,소로한면,,유지,1,62,1,2
서초구,우면동,8-13,127.0266357,37.469039,1165010300100080013,187.80,59.53,151.42,단독주택,27.2,9,6387000,평지,세로장방,세로각지(가),소형,청년,0,30,3,1
서초구,잠원동,11-9,127.0178822,37.5169333,1165010600100110009,170.70,56.40,144.99,단독주택,27.2,10,7281000,평지,자루형,세로한면(가),소형,청년,3,34,1,1
서초구,잠원동,29-16,127.0187417,37.5131826,1165010600100290016,258.60,59.62,221.83,공동주택,22.3,12,9677000,평지,가로장방,세로한면(가),소형,청년,3,26,1,1
서초구,잠원동,45-12,127.0175913,37.5108408,1165010600100450012,167.30,59.83,160.34,단독주택,32.1,10,8084000,평지,세로장방,세로한면(가),소형,청년,4,33,1,3
서초구,반포동,742-2,127.0193355,37.5038561,1165010700107420002,268.60,59.05,168.29,단독주택,27.9,16,10940000,평지,정방형,소로한면,중형,청년,0,59,5,3
서초구,서초동,1427-9,127.0196692,37.4834819,1165010800114270009,287.60,58.58,191.69,공동주택,23.7,20,7969000,평지,세로장방,세로한면(가),소형,청년,1,53,1,0
서초구,서초동,1428-6,127.0203949,37.484007,1165010800114280006,307.30,58.37,161.82,단독주택,28.6,28,7060000,평지,자루형,소로한면,소형,청년,1,52,1,0
서초구,서초동,1430-6,127.0214004,37.4846487,1165010800114300006,195.90,59.62,150.74,단독주택,29.0,7,8993000,평지,사다리형,소로각지,중형,청년,1,45,1,0
서초구,서초동,1442-12,127.0214314,37.4851142,1165010800114420012,294.80,59.89,159.56,단독주택,24.1,9,9313000,평지,사다리형,세로한면(가),소형,청년,1,49,1,0
서초구,서초동,1451-28,127.0131755,37.4834581,1165010800114510028,203.30,59.16,232.20,단독주택,28.7,9,7910000,평지,세로장방,세로한면(가),소형,청년,1,62,1,2
서초구,서초동,1507-3,127.0049086,37.4877169,1165010800115070003,187.80,59.18,182.70,단독주택,22.8,10,8666000,평지,정방형,세로한면(가),소형,청년,1,45,1,3
서초구,서초동,1507-45,127.0056186,37.4870413,1165010800115070045,250.50,57.90,151.94,단독주택,29.2,16,8747000,평지,세로장방,세로한면(가),소형,청년,1,47,1,3
서초구,서초동,1508-12,127.0070493,37.4875863,1165010800115080012,204.40,59.01,216.26,공동주택,28.7,6,8652000,평지,세로장방,세로한면(가),소형,청년,1,53,1,3
서초구,서초동,1515-13,127.005106,37.4863889,1165010800115150013,330.50,49.30,145.32,단독주택,29.6,12,8948000,평지,세로장방,세로한면(가),소형,청년,1,46,2,4
서초구,서초동,1610-10,127.0221723,37.4894092,1165010800116100010,330.40,49.94,99.88,단독주택,29.3,10,7396000,평지,부정형,세로한면(가),소형,청년,1,72,3,1
서초구,서초동,1612-8,127.0210732,37.4892624,1165010800116120008,330.00,49.50,99.01,단독주택,22.0,9,6313000,평지,세로장방,세로한면(가),소형,청년,3,74,3,1
서초구,서초동,1628-4,127.0189952,37.489003,1165010800116280004,231.70,49.94,99.88,단독주택,30.5,10,6539000,평지,정방형,소로각지,중형,청년,3,69,3,1
서초구,서초동,1643-49,127.019636,37.4926195,1165010800116430049,378.00,49.12,92.76,단독주택,21.3,7,6251000,평지,정방형,세로한면(가),소형,청년,2,66,2,2
